# Authored MCQs: question | correct option | distractor | distractor | distractor | explanation
[pa-u1]
Which part of communication converts an idea into words or signs? | Encoding | Decoding | Feedback | Receiving | Encoding prepares the sender's idea as a message; decoding interprets it.
A student's puzzled expression after an explanation is an example of what? | Non-verbal feedback | Written encoding | A communication channel | A language rule | Facial expressions can tell the sender whether the message was understood.
Which message best demonstrates completeness? | Submit the signed form to Room 4 by Friday at noon. | Submit it soon. | Do that work. | The form is important. | A complete instruction supplies the task, location and deadline.
A loud generator prevents a worker from hearing instructions. Which barrier is present? | Physical barrier | Linguistic barrier | Cultural barrier | Grammatical barrier | Environmental noise physically interferes with the message.
Which action shows active listening? | Paraphrasing the speaker's main point before replying | Planning a reply without listening | Interrupting every sentence | Looking at unrelated messages | Paraphrasing checks understanding and gives the speaker an opportunity to clarify.
Which is written communication? | A notice explaining revised office hours | A nod of agreement | A spoken announcement | A warning siren | A written notice communicates through text rather than voice or gestures.
Which sentence uses courteous communication? | Could you please check this total? | Check it, idiot! | You never understand anything. | Your question is useless. | Courtesy means respectful language, even when correcting an error.
Which is the channel in a phone conversation? | The telephone connection carrying the message | The person who speaks | The person who listens | The meaning of the message | A channel is the medium used to transmit a message.
Which sentence is a question? | Where is the attendance register? | Please bring the register. | The register is blue. | What a useful register! | An interrogative sentence asks for information.
A worker avoids technical jargon when addressing a new trainee. Which quality improves most directly? | Clarity | Loudness | Secrecy | Length | Familiar words make the intended meaning easier to understand.
[pa-u2]
Which activity helps a student identify personal strengths and weaknesses? | Self-assessment | Blaming classmates | Copying another person's goal | Ignoring feedback | Self-assessment develops awareness of abilities and areas needing improvement.
Which is an internal source of motivation? | Satisfaction from mastering a skill | A cash prize offered by a teacher | A threatened punishment | A certificate promised by a sponsor | Intrinsic motivation comes from interest and personal satisfaction.
Which goal is time-bound? | Finish the database exercise before 5 pm today. | Get better someday. | Work whenever convenient. | Learn many things. | A time-bound goal includes a clear deadline.
A student has three tasks with deadlines. What should be done first? | Prioritise tasks by urgency and importance | Choose only the easiest task forever | Avoid estimating time | Wait until every task is overdue | Prioritisation helps allocate limited time to the most important work.
Which response is a healthy way to manage examination stress? | Plan revision and take regular rest breaks | Skip sleep for several nights | Stop eating regular meals | Use someone else's medication | Planning and rest support concentration without harmful coping methods.
Which behaviour demonstrates working independently? | Planning a task, checking it and asking for specific help when needed | Refusing every instruction | Hiding mistakes | Waiting for reminders for every step | Independence includes responsibility and sensible help-seeking, not isolation.
A student lists completed tasks at the end of each day. What is being monitored? | Progress towards goals | Other students' private marks | Computer storage capacity | Classroom temperature | Reviewing completed work shows whether a plan is producing progress.
Which SMART element checks whether a goal can be achieved with available resources? | Achievable | Time-bound | Measurable | Specific | Achievability considers present abilities, resources and reasonable effort.
Which habit demonstrates self-motivation while learning a new skill? | Continuing planned practice without waiting for a reward | Abandoning every difficult step | Waiting for constant reminders | Refusing to review mistakes | Self-motivation helps a learner sustain purposeful effort independently.
Which response shows emotional self-regulation? | Pausing before calmly responding to criticism | Shouting immediately | Sending an insulting message | Damaging equipment | A pause allows a considered response instead of an impulsive reaction.
[pa-u3]
Which software manages memory and coordinates hardware devices? | Operating system | Spreadsheet formula | Presentation slide | Image file | The operating system manages resources and provides services to applications.
Which extension normally identifies a Writer document? | .odt | .ods | .odb | .ott | .odt is an OpenDocument text document; .ott is a Writer template.
What happens when a file is copied rather than moved? | A second copy is created while the original remains | The original must be deleted | The extension becomes executable | The file becomes read-only automatically | Copying leaves the source in place; moving changes its location.
Which backup arrangement best protects against failure of a laptop's internal drive? | A verified copy on a separate storage device | A second folder on the same drive only | A renamed original file only | A shortcut to the original file | A separate device provides independence from failure of the internal drive.
What is the purpose of an antivirus scan? | Check files for known or suspected malicious software | Organise every folder alphabetically | Increase the monitor size | Replace every operating-system function | Antivirus scanning is part of protecting and maintaining a computer; follow the program’s guidance for detected threats.
Which desktop component usually shows running applications? | Taskbar | Recycle Bin only | A text-file extension | A document margin | The taskbar helps identify and switch between open applications on common desktop operating systems.
Which action is appropriate before cleaning a desktop keyboard? | Shut down and disconnect power as instructed | Spray liquid into the powered keyboard | Remove live electrical wiring | Clean it with wet hands while typing | Follow manufacturer instructions and avoid liquid or electrical hazards.
Which is an example of system software? | A device driver | A saved photograph | A school essay | A budget worksheet | A driver helps the operating system communicate with a hardware device.
What is the purpose of software security updates? | Fix known vulnerabilities and defects | Guarantee that backups are unnecessary | Make every password public | Disable all access controls | Updates reduce exposure to known weaknesses but do not replace other safeguards.
Which action removes an unneeded temporary file safely? | Check that it is no longer needed and use an appropriate cleanup procedure | Delete every system folder | Rename it as a backup and assume it is removed | Unplug the computer while saving | Cleanup should remove only suitable unnecessary files without damaging required data or system files.
[pa-u4]
What is entrepreneurship? | Identifying an opportunity and organising resources to start and run a venture | Receiving a fixed salary for every idea | Buying goods only for personal use | Avoiding all decisions | Entrepreneurship combines opportunity, resources, planning and responsibility for a venture.
Which activity is market research? | Asking potential customers what service they need | Choosing prices without evidence | Ignoring competitors | Spending all savings immediately | Market research gathers information about customers and the market before decisions.
Which is a calculated business risk? | Testing a small pilot after estimating costs and demand | Investing blindly in an unknown scheme | Assuming losses are impossible | Borrowing without a repayment plan | A calculated risk is assessed and managed rather than ignored.
Which entrepreneurial activity contributes directly to society? | Meeting local needs and creating work opportunities | Promising that every venture earns a guaranteed profit | Avoiding all responsibility for customers | Refusing to learn any new skill | Entrepreneurship can provide useful goods or services and employment while requiring responsible decisions.
Which entrepreneurial function involves assigning work and coordinating resources? | Organising | Guessing | Consuming | Withdrawing | Organising arranges people and resources so the business plan can be implemented.
Which statement about entrepreneurship is accurate? | Entrepreneurial skills can improve through learning and experience | Only wealthy people can develop entrepreneurial skills | Every venture guarantees profit | Entrepreneurs never work in teams | Training, practice and feedback help develop planning and decision-making skills.
Which is an ethical business practice? | Giving accurate information about a product's limitations | Hiding charges until payment | Sharing customer passwords | Advertising a false guarantee | Honest information supports informed customer decisions and trust.
What is a business plan used for? | Describing goals, customers, operations and finances | Eliminating every possible uncertainty | Replacing all customer feedback | Guaranteeing a bank loan | A plan guides the venture and makes assumptions and resource needs explicit.
Which action demonstrates perseverance? | Improving a service after analysing an unsuccessful trial | Repeating a failure without review | Abandoning every task at the first difficulty | Denying that a problem exists | Perseverance combines sustained effort with learning and adjustment.
How can a small enterprise contribute to its community? | Creating employment and meeting local needs | Making all public services unnecessary | Eliminating every competitor by law | Guaranteeing identical incomes | Enterprises can provide useful goods or services and generate work opportunities.
[pa-u5]
Which action follows the principle of reducing waste at source? | Avoiding unnecessary single-use packaging | Burning mixed rubbish | Buying extra disposable cups | Replacing usable items weekly | Reduction prevents waste before it is created.
Which action is reuse rather than recycling? | Using a clean jar again for storage | Melting waste glass into new products | Pulping paper in a recycling plant | Processing scrap metal in a furnace | Reuse uses an item again without turning it into raw material.
Which energy source is renewable? | Solar energy | Coal | Petroleum | Natural gas | Sunlight is replenished naturally; fossil fuels are finite on human timescales.
Which combination represents the three pillars of sustainability? | Environmental, social and economic | Keyboard, mouse and monitor | Import, export and tax | Air, fire and metal | Sustainability considers ecological protection, social well-being and economic viability together.
What is an appropriate way to dispose of a broken circuit board? | Send it to an authorised e-waste collection system | Burn it in the school yard | Put it into a river | Mix it into food waste | Authorised e-waste handling helps recover materials and control hazardous substances.
Which is a green job? | Installing and maintaining solar panels | Dumping untreated chemical waste | Selling illegally cut timber | Burning plastic in open areas | Solar installation supports renewable energy and environmental goals.
Which habit conserves water? | Reporting and repairing leaking taps | Leaving taps running while away | Washing an empty floor continuously | Ignoring overflowing tanks | Repairing leaks prevents ongoing unnecessary consumption.
