# topic | definition | situation | appropriate action | misconception | correction | evidence to check | limitation
[pa-u1]
Encoding a message | Turning a sender's intended idea into words, symbols or gestures | A dispatcher must turn an internal delivery plan into instructions for drivers. | Express the route, stops and timing in an agreed understandable format. | An unspoken intention is already a message delivered to the driver. | An idea must be expressed and transmitted before the receiver can interpret it. | The written instruction actually includes the intended stops and times. | Accurate wording alone does not establish that the driver received or understood it.
Decoding a message | Interpreting the meaning of a received communication | A receptionist reads an appointment note but is unsure what its abbreviation means. | Ask the sender to expand the abbreviation before booking the appointment. | Recognising the printed letters proves the intended meaning is understood. | Recognising characters and correctly interpreting their meaning are different. | The receptionist can explain the intended appointment details in ordinary words. | Shared language does not remove every contextual ambiguity.
Constructive feedback | A specific response that helps a sender check understanding or improve a message | A trainee notices that a task description omits the required file format. | Tell the sender exactly which format information is missing and request clarification. | Any reply, even unrelated praise, resolves the missing instruction. | Relevant feedback identifies the specific information needed to complete the task. | The sender supplies a format and the trainee confirms it accurately. | Feedback must be considered and acted on; merely collecting it is insufficient.
Physical noise | Environmental interference with the transmission of a message | A workshop announcement is drowned out by drilling. | Pause or relocate the briefing, or supply an accessible written instruction. | Speaking with more technical words will remove drilling noise. | Noise is a physical transmission problem, not a shortage of specialised vocabulary. | Workers can hear or read the complete briefing after the interference is reduced. | Removing noise does not automatically correct inaccurate message content.
Clarity for an audience | Using language and structure that make the intended meaning easy to understand | A volunteer manual uses unexplained internal department codes. | Replace or explain those codes using language familiar to the volunteers. | Short codes are always clearer because they contain fewer characters. | Brevity helps only when the intended audience understands what the code means. | A new volunteer correctly describes the task without guessing code meanings. | Simpler wording must still preserve necessary technical distinctions.
Complete instructions | Providing the essential details needed for the receiver to act | A notice asks students to submit a project but gives neither destination nor deadline. | Add the submission location, date, time and required project details. | A polite tone can substitute for a missing submission deadline. | Courtesy cannot supply factual details that the message never states. | Students can identify what to submit, where and by when from the notice alone. | Completeness means necessary details, not including every unrelated fact.
Courteous disagreement | Expressing disagreement respectfully without attacking a person | Two colleagues disagree about a calculation and one starts insulting the other. | Discuss the disputed calculation using neutral language and supporting evidence. | Respectful language requires agreeing with an incorrect total. | A person can challenge the result firmly while respecting the colleague. | The discussion identifies the disputed value without personal insults. | A courteous conversation still needs accurate evidence to resolve the calculation.
Active listening | Attending to a speaker, clarifying uncertainty and checking understanding | A client explains three changes while a clerk keeps composing unrelated messages. | Stop the distraction, listen and summarise the requested changes for confirmation. | Remaining silent while distracted is sufficient proof of listening. | Attention and an accurate response matter more than silence alone. | The client confirms that the clerk's summary contains all three changes. | A correct summary must still be followed by correct execution of the task.
Choosing a channel | Selecting a communication medium appropriate to urgency, audience and record needs | A shift cancellation must reach absent staff promptly and leave a written record. | Use an agreed timely contact channel and send a clear written confirmation. | A notice on an empty office wall is enough for staff already at home. | The chosen medium must actually reach the intended recipients in time. | Affected staff receive the cancellation and can access the recorded details. | Delivery receipts do not always prove that recipients have read the message.
[pa-u2]
Reflective self-awareness | Recognising personal strengths, weaknesses and emotional reactions from evidence | A learner repeatedly loses marks in formula references but performs formatting tasks well. | Compare marked work and record the specific reference errors and demonstrated strengths. | One weakness means the learner has no useful computer skills. | Performance should be analysed by skill instead of applying a global negative label. | The learner identifies recurring reference errors separately from successful formatting. | Self-assessment benefits from external feedback and can otherwise be biased.
Managing priorities | Allocating effort according to a task's importance and time constraints | A practical due tomorrow competes with an optional decoration task due next month. | Schedule the urgent practical first and assign later time to the decoration. | The most enjoyable task always deserves the earliest study slot. | Enjoyment is not a substitute for considering deadlines and importance. | The urgent practical receives a realistic work slot before its deadline. | Priorities need review if requirements or deadlines change.
Measurable goals | Defining a target whose progress can be checked with observable evidence | A learner's plan says only improve my typing. | Specify an accuracy target and a defined practice duration or assessment task. | A goal becomes measurable just by adding the word better. | Measurement needs a concrete criterion rather than a vague improvement word. | Typing results can be compared with the stated accuracy and task target. | A measurable target can still be unrealistic or poorly suited to the learner.
Realistic planning | Matching a goal and schedule to actual resources and starting ability | A beginner promises to complete twenty unfamiliar Base exercises in ten minutes. | Reduce the scope or extend the time after estimating the learning steps. | An exact deadline makes every workload achievable. | Precision of timing does not create the skills or time needed for the work. | A trial exercise supplies a realistic estimate for the revised schedule. | Estimates are uncertain and should include time for difficulties.
Intrinsic motivation | Pursuing a task because of interest, meaning or satisfaction in the task itself | A student experiments with queries even when no prize or marks are offered. | Connect continued practice to curiosity and the satisfaction of understanding results. | Learning cannot continue unless every practice attempt earns a prize. | Interest and personal satisfaction can motivate effort without an external reward. | The student voluntarily investigates a query result without a promised prize. | Interest alone does not replace a plan or guarantee consistent effort.
Regulating emotions | Recognising an emotional reaction and choosing a considered response | A worker feels angry after receiving critical feedback on an error. | Pause, identify the useful feedback and respond calmly to the specific issue. | Acting on anger immediately is the only honest response. | A pause can preserve honesty while avoiding impulsive harmful behaviour. | The worker discusses the correction without sending an abusive reply. | Persistent distress may require support beyond a brief pause.
Independent working | Taking responsibility for planning and checking work while seeking appropriate help | A learner can complete most of a task but is uncertain about one safety instruction. | Complete understood steps and ask a focused question before the uncertain safety step. | Working independently means never asking anyone a question. | Responsible independence includes recognising limits and asking for necessary help. | The learner progresses without repeated reminders and resolves the specific uncertainty safely. | Independence does not authorise ignoring instructions or attempting unsafe tasks.
Healthy stress management | Using constructive habits and support to manage pressure | A student prepares for exams by sacrificing sleep every night and becomes less focused. | Restore regular rest and divide revision into planned manageable sessions. | More waking hours always produce better learning. | Sleep loss can reduce concentration and undermine the extra time spent studying. | The revised plan includes rest and the learner can sustain attention during practice. | Severe or persistent symptoms should be discussed with a qualified professional.
Reviewing progress | Comparing actual completed work with a plan and adjusting future actions | A weekly timetable lists ten tasks, but three unfinished tasks keep being copied forward. | Identify why those tasks are delayed and revise their time or support arrangements. | Rewriting an unfinished task counts as completing it. | A plan entry is not evidence that the required work has been done. | The learner checks actual finished outputs rather than the number of entries copied. | Completion counts should be considered alongside the quality of the work.
[pa-u3]
Separate backup copies | Keeping an independent recoverable copy of important data | A student stores a report and its backup in two folders on one failing drive. | Keep a verified copy on another suitable device or approved backup service. | Two folders on one drive protect against that drive's complete failure. | Both folders depend on the same physical drive and can fail together. | A sample report can be restored from the independent copy without the original drive. | A backup may be outdated or incomplete if it is not maintained and tested.
Desktop components | Identifying menus, icons and the taskbar in a graphical operating-system interface | A beginner confuses an application icon with the taskbar showing open windows. | Identify each component and use it for its intended desktop task. | Every desktop symbol performs the same operation. | Icons, menus and the taskbar have different interface roles. | The learner can open an intended application and switch to an already open window. | The appearance and exact controls can differ between operating systems.
Virus protection and scanning | Using appropriate antivirus measures as part of computer maintenance | A shared school computer has a file flagged as a possible virus. | Inform the responsible adult and follow the approved scan and cleaning or quarantine procedure. | Opening a flagged file is the safest way to find out what it does. | Suspected malicious files should not be run to test them. | The approved tool and responsible person check the affected files and required recovery steps. | A scan result does not remove the need for safe file handling and regular maintenance.
File and folder operations | Creating, copying, moving, renaming and organising files in suitable folders | A student wants a copy of a report in a project folder while keeping the original. | Copy the file to the intended folder and verify both copies. | Moving and copying always leave the same number of independent files. | Copying retains the source while moving changes its location. | The project folder contains the required copy and the original remains at its source. | A copied filename alone does not prove that the intended version was copied.
Operating system resources | Managing files, processes, memory and devices for applications | Several programs need processor time and memory on the same computer. | Let the operating system coordinate those resources and close unnecessary applications if needed. | A document's text file itself schedules all running applications. | Resource scheduling is an operating-system responsibility, not a property of the document. | Running applications receive managed resources and the system can report their usage. | Resource management cannot create unlimited processing power or memory.
Safe device cleaning | Cleaning equipment according to manufacturer instructions without electrical or liquid hazards | A keyboard is dirty and a learner prepares to pour cleaner between its powered keys. | Shut down and disconnect as instructed, then use an approved controlled cleaning method. | Pouring liquid into powered equipment is harmless if the liquid smells clean. | Cleaning chemicals and moisture can damage equipment and create electrical hazards. | The equipment is safely isolated and no liquid is allowed into sensitive openings. | Uncertain or damaged equipment should be handled by a responsible trained person.
Security updates | Applying verified software fixes for known defects and vulnerabilities | A computer keeps postponing security updates while opening internet content. | Install supported updates through the official update mechanism at an appropriate time. | Security updates matter only when the computer already shows visible damage. | Known vulnerabilities may be exploitable before any visible symptom appears. | The official updater reports the intended supported security fixes as installed. | Updates reduce known risks but do not replace backups and safe behaviour.
Organised file naming | Using descriptive names and folders to distinguish tasks and versions | Three unrelated assignments are all called New Document in different download folders. | Rename and organise them by subject, task and a clear version convention. | Similar filenames guarantee the files contain the same work. | Names alone do not prove identical contents, and vague names increase selection errors. | The learner can identify the required assignment and current version without opening every file. | Clear naming does not replace checking content before submission.
Operating-system interfaces | Comparing the ways an operating system lets users give commands and manage work | One system uses typed commands while another offers desktop menus and icons. | Identify the command-based and graphical interaction styles and demonstrate the required basic task. | A graphical interface means the computer no longer needs an operating system. | A graphical interface is a way of interacting with system functions, not a replacement for the operating system. | The learner can explain how the chosen interface is used to perform a basic file operation. | Interface differences do not by themselves prove one system is suitable for every task.
[pa-u4]
Identifying customer needs | Discovering a problem or demand that a proposed service can address | A student wants to start scanning documents but has not spoken to potential customers. | Ask local customers what documents, formats and turnaround times they need. | Personal enthusiasm alone proves that paying customers exist. | Demand must be investigated rather than inferred solely from the founder's interest. | Potential customers describe a real unmet scanning need and relevant requirements. | Survey interest is not the same as a confirmed paid order.
Cost estimation | Identifying expenses required to provide a product or service | A printing service sets prices using paper cost alone and ignores ink and electricity. | Include relevant consumables, running costs and allocated fixed expenses in the estimate. | Revenue minus paper cost always equals the full business profit. | Omitting relevant costs overstates profit and can lead to unsustainable prices. | The estimate includes the significant costs incurred in delivering the service. | Cost estimates can change with volume, supplier prices and wastage.
Calculated risk-taking | Assessing uncertainty and limiting exposure before committing resources | A new service considers buying expensive equipment before testing demand. | Pilot the service at a smaller scale and assess likely costs and demand first. | Risk management means a business decision can never lose money. | A calculated risk is assessed and controlled, not guaranteed to succeed. | A pilot provides evidence about demand and exposes only an affordable amount. | A successful small pilot may not fully predict results at larger scale.
Ethical commitments | Making honest promises and handling customers fairly | A repair shop advertises guaranteed recovery of every lost file. | Describe recovery limits honestly and agree realistic terms before accepting the job. | A promise is ethical whenever it helps win a sale. | Sales goals do not justify claims the business cannot reliably fulfil. | Customers receive accurate limitations, charges and consent information before proceeding. | Written terms do not excuse careless or dishonest work.
Organising a venture | Coordinating people, resources and tasks to implement a business plan | Two workers duplicate one order while another urgent order is overlooked. | Assign clear responsibilities and track each order through an agreed workflow. | Hiring more people automatically removes task-coordination problems. | Work must be allocated and monitored even when staffing increases. | Each order has an owner, status and planned completion time. | A workflow requires updating when workload or staff availability changes.
Learning from feedback | Using customer experience to improve a product or service | Customers repeatedly report unreadable scans from a new document service. | Inspect sample scans, identify the quality fault and improve the scanning procedure. | Repeated complaints should be ignored if the owner likes the current method. | Consistent relevant complaints are evidence that the delivered service needs review. | New scans meet agreed readability requirements in checks with actual users. | Not every suggestion is feasible; improvements still need cost and quality assessment.
Entrepreneurship as a career option | Considering enterprise ownership as a possible career with responsibilities and uncertainty | A learner considers a small service venture instead of salaried employment. | Compare the required qualities, responsibilities, resources and local needs before deciding. | Becoming an entrepreneur guarantees a fixed salary and removes all responsibility. | An entrepreneur takes responsibility for a venture and faces uncertain results. | The career comparison identifies real duties and required qualities rather than only imagined rewards. | Suitability depends on the learner and context; no career option guarantees success.
Entrepreneurial initiative | Taking a responsible first step to develop an identified opportunity | A neighbourhood needs help with online forms and a student has suitable skills. | Investigate requirements and propose a small lawful service with clear privacy safeguards. | Initiative means acting without understanding any customer or legal requirements. | Useful initiative combines action with appropriate investigation and responsibility. | The proposal addresses a specific local need and states how client data will be protected. | Initiative does not remove the need for permission, competence or compliance.
Perseverance with adaptation | Sustaining effort while learning and adjusting after setbacks | A first service trial fails because opening hours do not suit customers. | Revise the hours using customer evidence and test the revised service. | Perseverance requires repeating exactly the same failed approach forever. | Persistence is more useful when combined with reflection and appropriate change. | The next trial addresses the identified timing problem rather than repeating it unchanged. | Continuing indefinitely is not wise if evidence shows an unviable venture.
[pa-u5]
Waste prevention | Avoiding unnecessary material use before waste is created | An office prints every email and immediately discards most of the pages. | Print only documents that genuinely require paper copies. | Recycling unnecessary printouts is identical to avoiding their production. | Prevention avoids material and processing needs that recycling still incurs. | Fewer unnecessary sheets are consumed for the same useful communication. | Essential paper records and accessibility requirements still need to be met.
Reusing materials | Using a serviceable item again without reprocessing it into raw material | A school has sturdy storage boxes left over from an event. | Use suitable intact boxes again for organised storage. | Using a box twice requires melting or pulping its material first. | Reuse keeps the item in use without the material-processing step of recycling. | The same boxes safely serve another useful purpose instead of being discarded. | Reuse is appropriate only when the item remains safe and suitable.
Responsible e-waste handling | Sending discarded electronics through authorised collection and processing | A club has unusable batteries and broken circuit boards after equipment replacement. | Follow authorised e-waste and battery collection arrangements rather than mixing them with ordinary rubbish. | Burning electronics outdoors is a harmless way to reduce waste volume. | Open burning can release hazardous substances and is not responsible disposal. | The waste reaches the appropriate authorised collection stream. | Collection claims should be checked; not every informal collector handles waste safely.
Energy conservation | Reducing avoidable energy consumption while meeting legitimate needs | A lab's unused monitors remain on throughout the night. | Use appropriate power management or safe shutdown when the equipment is not needed. | Energy-saving labels make operating hours irrelevant. | Actual consumption depends on how equipment is used as well as its efficiency. | Metered use or operating-time records show reduced unnecessary consumption. | Some systems need continuous operation, so shutdown must follow authorised requirements.
Water conservation | Preventing avoidable water loss and using water efficiently | A dispenser tap leaks continuously between uses. | Report and repair the leak through the responsible maintenance process. | A small continuous leak cannot amount to meaningful waste. | Even a low flow can accumulate into substantial loss over time. | The tap no longer loses water when properly closed. | Repairs must preserve hygiene and be performed safely.
Social sustainability | Considering fairness, health and access alongside environmental and economic goals | A school's digital-only policy excludes learners without reliable devices. | Provide accessible alternatives or shared access while reducing unnecessary printing. | A policy is sustainable solely because it uses less paper. | Sustainability also considers people's ability to participate fairly. | Learners without private devices can still access the required material. | Accessibility measures need ongoing support and may involve resource trade-offs.
Renewable energy choices | Using energy sources replenished naturally on human timescales | A community compares rooftop solar with continued reliance on a finite fossil fuel. | Assess solar output, site conditions, costs and storage or backup needs. | Renewable energy equipment has no material or maintenance requirements. | A renewable source can still require manufactured equipment and lifecycle resources. | The plan estimates usable energy from local conditions and identifies maintenance needs. | Output can vary with weather and time, so a reliable supply plan is still necessary.
