question_id,chapter,type,outcomes,reviewed_sources,content_sha256,review_date,question
pa-u1/mcq-1,pa-u1,mcq,A1-feedback,mcq:pa-u1:1,87b29d9bbed7d428b6e32c053b28cd640f65d4e05f0c9953aec9a36f6741e36d,2026-09-11,Which part of communication converts an idea into words or signs?
pa-u1/mcq-2,pa-u1,mcq,A1-feedback,mcq:pa-u1:2,e7bfd552c85ace94b331044772c02abb44788cbbb86666b7d3dedabfa19efd76,2026-09-11,A student's puzzled expression after an explanation is an example of what?
pa-u1/mcq-3,pa-u1,mcq,A1-principles,mcq:pa-u1:3,b1905e761e986499d233ebe2bd97ea8e5d8f0c29923d54517bdbdd971646229f,2026-09-11,Which message best demonstrates completeness?
pa-u1/mcq-4,pa-u1,mcq,A1-barriers,mcq:pa-u1:4,9d4022bca930892f995c32de8245b160e480a3d93676ee916fbeaba20ae2665d,2026-09-11,A loud generator prevents a worker from hearing instructions. Which barrier is present?
pa-u1/mcq-5,pa-u1,mcq,A1-barriers,mcq:pa-u1:5,94d25ed2600ca07aecda517636de2e21fcab167e5b08e3628925e50e37405e83,2026-09-11,Which action shows active listening?
pa-u1/mcq-6,pa-u1,mcq,A1-methods,mcq:pa-u1:6,9a0450c72f7ed57e3805474f842b4112f3f1ac3272b5fa3cd1d42f2fed8336c5,2026-09-11,Which is written communication?
pa-u1/mcq-7,pa-u1,mcq,A1-principles,mcq:pa-u1:7,552f42278f4b28ac8ae6f62318feeb86555c7db35d92269b7c9e2e63ba014f03,2026-09-11,Which sentence uses courteous communication?
pa-u1/mcq-8,pa-u1,mcq,A1-methods;A1-feedback,mcq:pa-u1:8,e138bc269de0a26fc0af1da28d01a611a1a8e941e2ab611fba6ae448cf758836,2026-09-11,Which is the channel in a phone conversation?
pa-u1/mcq-9,pa-u1,mcq,A1-writing,mcq:pa-u1:9,698f3c9554e03222cf85ac1a772aa6fe3711a408aa6dfefc5c34c238970065ec,2026-09-11,Which sentence is a question?
pa-u1/mcq-10,pa-u1,mcq,A1-principles,mcq:pa-u1:10,68cd20d0338b3aa16a8846d4c35942bbfa6e0b74edb2d842f243c23daed717e2,2026-09-11,A worker avoids technical jargon when addressing a new trainee. Which quality improves most directly?
pa-u1/mcq-11,pa-u1,mcq,A1-principles,legacy-mcq:pa-u1:1,5de5f7ca5da53817fa4eb261774185e320e31e956d4dce55cf009ef6ac52607f,2026-09-11,"Which of the 7 Cs means “to the point, no extra words”?"
pa-u1/mcq-12,pa-u1,mcq,A1-barriers,legacy-mcq:pa-u1:2,4381e141bc5368c2750a7066aff652e4b48dce062286ca05ae529e4880cb39c9,2026-09-11,Instructions contain unexplained technical abbreviations. Which barrier is most relevant?
pa-u1/mcq-13,pa-u1,mcq,A1-feedback;A1-principles,scenario:pa-u1:1;scenario:pa-u1:3;scenario:pa-u1:5;scenario:pa-u1:7,ffc73d5d2b575b2a8244b7075c41ae2719ecdb1f994dfba5c01d49a59aeab872,2026-09-11,"Which term matches this definition: “Turning a sender's intended idea into words, symbols or gestures”?"
pa-u1/mcq-14,pa-u1,mcq,A1-feedback;A1-barriers;A1-principles,scenario:pa-u1:2;scenario:pa-u1:4;scenario:pa-u1:6;scenario:pa-u1:8,38ed880e106735282d1cf4a218506a30be4351f36abe3f104fb36ffddfb97a6c,2026-09-11,Which term matches this definition: “Interpreting the meaning of a received communication”?
pa-u1/mcq-15,pa-u1,mcq,A1-feedback;A1-principles;A1-methods,scenario:pa-u1:3;scenario:pa-u1:5;scenario:pa-u1:7;scenario:pa-u1:9,5aaa81629617d441ed72c4772a8e58cb11174efef9f2660e9952c624aa714629,2026-09-11,Which term matches this definition: “A specific response that helps a sender check understanding or improve a message”?
pa-u1/mcq-16,pa-u1,mcq,A1-barriers;A1-principles;A1-feedback,scenario:pa-u1:4;scenario:pa-u1:6;scenario:pa-u1:8;scenario:pa-u1:1,0acf9dd5c10eba8561d144880378029481a5989eca13bede8af320c6602af869,2026-09-11,Which term matches this definition: “Environmental interference with the transmission of a message”?
pa-u1/mcq-17,pa-u1,mcq,A1-principles;A1-methods;A1-feedback,scenario:pa-u1:5;scenario:pa-u1:7;scenario:pa-u1:9;scenario:pa-u1:2,a32dc8518d460a77c8482132a5b9d51ac078dd734eb5c012574812cff0bdfa6f,2026-09-11,Which term matches this definition: “Using language and structure that make the intended meaning easy to understand”?
pa-u1/mcq-18,pa-u1,mcq,A1-principles;A1-barriers;A1-feedback,scenario:pa-u1:6;scenario:pa-u1:8;scenario:pa-u1:1;scenario:pa-u1:3,f332ca871f079a481552e2eb1eb124da775212d69458e15d7daf1accc176dcfd,2026-09-11,Which term matches this definition: “Providing the essential details needed for the receiver to act”?
pa-u1/mcq-19,pa-u1,mcq,A1-principles;A1-methods;A1-feedback;A1-barriers,scenario:pa-u1:7;scenario:pa-u1:9;scenario:pa-u1:2;scenario:pa-u1:4,e464ab6068c3a1c51d226891d1424af19a8706f7ad4a597244b02bea75788f9a,2026-09-11,Which term matches this definition: “Expressing disagreement respectfully without attacking a person”?
pa-u1/mcq-20,pa-u1,mcq,A1-barriers;A1-feedback;A1-principles,scenario:pa-u1:8;scenario:pa-u1:1;scenario:pa-u1:3;scenario:pa-u1:5,fa2ee57f028e164c5cbba6c7608aa865489e361d5ba3fbdf04d24ae65ab6b502,2026-09-11,"Which term matches this definition: “Attending to a speaker, clarifying uncertainty and checking understanding”?"
pa-u1/mcq-21,pa-u1,mcq,A1-methods;A1-feedback;A1-barriers;A1-principles,scenario:pa-u1:9;scenario:pa-u1:2;scenario:pa-u1:4;scenario:pa-u1:6,49d96113d669480141e2d8fc263725a97ddae20273405b19f1cb5583188bf227,2026-09-11,"Which term matches this definition: “Selecting a communication medium appropriate to urgency, audience and record needs”?"
pa-u1/mcq-22,pa-u1,mcq,A1-feedback;A1-principles,scenario:pa-u1:1;scenario:pa-u1:3;scenario:pa-u1:5;scenario:pa-u1:7,656c343a9c651057c082f0feb8cbc477e9c4774c2f20a4e86730de36b873ebb9,2026-09-11,A dispatcher must turn an internal delivery plan into instructions for drivers. Which response most directly addresses this case?
pa-u1/mcq-23,pa-u1,mcq,A1-feedback;A1-barriers;A1-principles,scenario:pa-u1:2;scenario:pa-u1:4;scenario:pa-u1:6;scenario:pa-u1:8,8698b99b1306ebb06a8e155cd39b628b447061331b5083967f58306c2f738cc7,2026-09-11,A receptionist reads an appointment note but is unsure what its abbreviation means. Which response most directly addresses this case?
pa-u1/mcq-24,pa-u1,mcq,A1-feedback;A1-principles;A1-methods,scenario:pa-u1:3;scenario:pa-u1:5;scenario:pa-u1:7;scenario:pa-u1:9,2a1cbb25074dd6a3a36ced1f14e7a5b22b0db7b1aabe1a5e3905f283f0609ce4,2026-09-11,A trainee notices that a task description omits the required file format. Which response most directly addresses this case?
pa-u1/mcq-25,pa-u1,mcq,A1-barriers;A1-principles;A1-feedback,scenario:pa-u1:4;scenario:pa-u1:6;scenario:pa-u1:8;scenario:pa-u1:1,5ab0560df2537f07b76fc44c537d6d9243ce392256c56e9135df27ce702445c3,2026-09-11,A workshop announcement is drowned out by drilling. Which response most directly addresses this case?
pa-u1/mcq-26,pa-u1,mcq,A1-principles;A1-methods;A1-feedback,scenario:pa-u1:5;scenario:pa-u1:7;scenario:pa-u1:9;scenario:pa-u1:2,3d36222d4fed326de9febedde00b452d36509c0a52a13fb4421e7422c7b51dd5,2026-09-11,A volunteer manual uses unexplained internal department codes. Which response most directly addresses this case?
pa-u1/mcq-27,pa-u1,mcq,A1-principles;A1-barriers;A1-feedback,scenario:pa-u1:6;scenario:pa-u1:8;scenario:pa-u1:1;scenario:pa-u1:3,d60961e0f36e7ff4419717e2e408c013bce52fdb548f42a2766f873f81e69424,2026-09-11,A notice asks students to submit a project but gives neither destination nor deadline. Which response most directly addresses this case?
pa-u1/mcq-28,pa-u1,mcq,A1-principles;A1-methods;A1-feedback;A1-barriers,scenario:pa-u1:7;scenario:pa-u1:9;scenario:pa-u1:2;scenario:pa-u1:4,e9edd1b9248a7bb6f38ce7f460a4a7fbc373e568738c1a7b0306c3cfdf77d8e7,2026-09-11,Two colleagues disagree about a calculation and one starts insulting the other. Which response most directly addresses this case?
pa-u1/mcq-29,pa-u1,mcq,A1-barriers;A1-feedback;A1-principles,scenario:pa-u1:8;scenario:pa-u1:1;scenario:pa-u1:3;scenario:pa-u1:5,0c37168e4f6b796f7f79cdba15a3d662c633646f1dd01c3470b926b6433237b1,2026-09-11,A client explains three changes while a clerk keeps composing unrelated messages. Which response most directly addresses this case?
pa-u1/mcq-30,pa-u1,mcq,A1-methods;A1-feedback;A1-barriers;A1-principles,scenario:pa-u1:9;scenario:pa-u1:2;scenario:pa-u1:4;scenario:pa-u1:6,da36202f7ebf9abf0d91c5efad6b0c198b5cafaeb07e450f96d59fbcdbeadd2c,2026-09-11,A shift cancellation must reach absent staff promptly and leave a written record. Which response most directly addresses this case?
pa-u1/mcq-31,pa-u1,mcq,A1-feedback;A1-principles,scenario:pa-u1:1;scenario:pa-u1:3;scenario:pa-u1:5;scenario:pa-u1:7,71cba3cb39b2396fcb9ce7141d7e548560f38332ece6379663db1e91f4375a1a,2026-09-11,Which explanation corrects this claim about encoding a message: “An unspoken intention is already a message delivered to the driver.”?
pa-u1/mcq-32,pa-u1,mcq,A1-feedback;A1-barriers;A1-principles,scenario:pa-u1:2;scenario:pa-u1:4;scenario:pa-u1:6;scenario:pa-u1:8,f5f0acdcb7a299be79b047de685efcba0b4ba5615f23b3ea1b97d9b7f32c0c3e,2026-09-11,Which explanation corrects this claim about decoding a message: “Recognising the printed letters proves the intended meaning is understood.”?
pa-u1/mcq-33,pa-u1,mcq,A1-feedback;A1-principles;A1-methods,scenario:pa-u1:3;scenario:pa-u1:5;scenario:pa-u1:7;scenario:pa-u1:9,aa7a5cc88ab8e0a2f9a461293306ca7b62cdc46be91e7cb7c9b9a86b2e87efa9,2026-09-11,"Which explanation corrects this claim about constructive feedback: “Any reply, even unrelated praise, resolves the missing instruction.”?"
pa-u1/mcq-34,pa-u1,mcq,A1-barriers;A1-principles;A1-feedback,scenario:pa-u1:4;scenario:pa-u1:6;scenario:pa-u1:8;scenario:pa-u1:1,58cbd19a0aed0983678f04427f211bc00e00bfc48e9a8b5d22a8340571165b50,2026-09-11,Which explanation corrects this claim about physical noise: “Speaking with more technical words will remove drilling noise.”?
pa-u1/mcq-35,pa-u1,mcq,A1-principles;A1-methods;A1-feedback,scenario:pa-u1:5;scenario:pa-u1:7;scenario:pa-u1:9;scenario:pa-u1:2,f74b75ac47829c2c5ce02d422abd3a14c22784d0c939c612eda4a9acc26bcca1,2026-09-11,Which explanation corrects this claim about clarity for an audience: “Short codes are always clearer because they contain fewer characters.”?
pa-u1/mcq-36,pa-u1,mcq,A1-principles;A1-barriers;A1-feedback,scenario:pa-u1:6;scenario:pa-u1:8;scenario:pa-u1:1;scenario:pa-u1:3,7d25c9402ee7d54073185181339ac51dfd2b9ef8fb50636f00911982d4fbbc5c,2026-09-11,Which explanation corrects this claim about complete instructions: “A polite tone can substitute for a missing submission deadline.”?
pa-u1/mcq-37,pa-u1,mcq,A1-principles;A1-methods;A1-feedback;A1-barriers,scenario:pa-u1:7;scenario:pa-u1:9;scenario:pa-u1:2;scenario:pa-u1:4,9cc4515fa7595f6e32e6422aa0cb389e63cd6c6248c2f4abb9cbebe13ad66ecb,2026-09-11,Which explanation corrects this claim about courteous disagreement: “Respectful language requires agreeing with an incorrect total.”?
pa-u1/mcq-38,pa-u1,mcq,A1-barriers;A1-feedback;A1-principles,scenario:pa-u1:8;scenario:pa-u1:1;scenario:pa-u1:3;scenario:pa-u1:5,9bd4c874fa3dbe0fe3e9c5124061b399e8f62b0f29955a5df2d5c79755cc6690,2026-09-11,Which explanation corrects this claim about active listening: “Remaining silent while distracted is sufficient proof of listening.”?
